"","Var1","Var2","value"
"516","SERPINA7","PRSS8",0.587609330890154
"517","VCAM1","PRSS8",0.695091382559018
"518","FCGR3B","PRSS8",0.540992675664103
"519","PTPRS","PRSS8",0.476210879019119
"520","CCL14","PRSS8",0.564847122416918
"521","SPON2","IL16",0.593755395585624
"522","APOM","IL16",0.452057675051676
"523","PSGL-1","IL16",0.619333832742426
"524","PRSS27","IL16",0.479629847260008
"525","PAR-1","IL16",0.429776721224351
"526","LPL","IL16",0.560994886345441
"527","TNFSF14","IL16",0.536678329300365
"528","OPG","IL16",0.428004131413758
"529","CTSL1","IL16",0.776744882633611
"530","ADA","IL16",0.453204914308413
"531","CA3","IL16",0.599973998941744
"532","VCAM1","IL16",0.460699412680892
"533","FCGR3B","IL16",0.536572371427362
"534","Dkk-1","IDUA",0.672871990755068
"535","ANGPT1","IDUA",0.471265434716959
"536","THBS2","IDUA",0.48305885659612
"537","HO-1","IDUA",0.608752701937516
"538","PRELP","IDUA",0.569498186709764
"539","XCL1","IDUA",0.629939202657309
"540","TNFRSF10A","IDUA",0.554275746491207
"541","ITGB1BP2","IDUA",0.474121604005358
"542","IgG Fc receptor II-b","IDUA",0.536074449707087
"543","C2","IDUA",0.454118359963633
"544","IGLC2","IDUA",-0.222150310408227
"545","TRANCE","IDUA",0.477234681327048
"546","HB-EGF","IDUA",-0.203368275149186
"547","TRAIL","IDUA",-0.206172125345309
"548","CCL25","IDUA",-0.234116045584992
"549","CXCL6","IDUA",-0.223354046173374
"550","CX3CL1","IDUA",-0.270023823572414
"551","CSF-1","IDUA",-0.184129298136935
"552","CCL28","IDUA",-0.344369589402812
"553","FGF-21","IDUA",-0.244286640674256
"554","NEMO","IDUA",0.490860611621418
"555","FABP2","IDUA",-0.266052136897855
"556","TNFSF14","IDUA",-0.186737891348377
"557","PD-L1","IDUA",0.475174879162252
"558","CXCL11","IDUA",-0.203988980015972
"559","TGF-alpha","IDUA",-0.247991100612116
"560","AXIN1","IDUA",0.524585102266954
"561","CD59","IDUA",0.620622548470084
"562","IL7R","IDUA",0.474575226075346
"563","ICAM3","IDUA",0.470063301489591
"564","CDH1","IDUA",0.452723639238429
"565","NRP1","IDUA",-0.242603671205602
"566","IGFBP6","IDUA",0.543556270631108
"567","MET","IDUA",-0.451402193830373
"568","SERPINA5","IDUA",-0.184328526066294
"569","IGFBP3","IDUA",0.475747046525863
"570","FCGR2A","IDUA",0.437763343421173
"571","CST3","IDUA",0.482020751328364
"572","LILRB5","ADAM-TS13",-0.220885373339907
"573","THBS2","ADAM-TS13",-0.204653712329599
"574","SERPINA12","ADAM-TS13",-0.213622413968979
"575","TF","ADAM-TS13",-0.247398692174513
"576","MARCO","ADAM-TS13",-0.218361444846426
"577","CST5","ADAM-TS13",0.428660844409776
"578","CD244","ADAM-TS13",-0.298639179588726
"579","CCL4","ADAM-TS13",0.516810894789205
"580","4E-BP1","ADAM-TS13",-0.233760907860021
"581","CCL23","ADAM-TS13",-0.184539815562162
"582","NEMO","ADAM-TS13",-0.237148885742813
"583","VEGFD","ADAM-TS13",-0.368816902959364
"584","CD8A","ADAM-TS13",-0.25822519087716
"585","PARP-1","ADAM-TS13",-0.193931128580309
"586","PD-L1","ADAM-TS13",-0.20994368435009
"587","PROC","ADAM-TS13",-0.228961074835816
"588","CDH1","ADAM-TS13",-0.235117732992216
"589","DPP4","ADAM-TS13",-0.262792947834345
"590","CFHR5","ADAM-TS13",-0.30040517993058
"591","GNLY","ADAM-TS13",-0.218592692449037
"592","ANGPTL3","ADAM-TS13",-0.233667234658617
"593","COMP","ADAM-TS13",-0.263164273361754
"594","PCOLCE","ADAM-TS13",-0.18571821265109
"595","TIE1","ADAM-TS13",-0.243479922871317
"596","IGFBP3","ADAM-TS13",-0.189371064996761
"597","FCGR2A","ADAM-TS13",-0.32115338931596
"598","CST3","ADAM-TS13",-0.231734416043661
"599","CD40-L","AMBP",-0.25619948085704
"600","hOSCAR","AMBP",-0.244380716340179
"601","TRAIL","AMBP",-0.294856840199159
"602","CCL25","AMBP",-0.218285543926634
"603","IL18","AMBP",-0.235269542339994
"604","CASP-8","AMBP",-0.328120153561867
"605","IL-18R1","AMBP",-0.40240097305912
"606","NRP1","AMBP",-0.290597691814015
"607","CR2","AMBP",-0.296916877011978
"608","SELL","AMBP",-0.276949300947274
"609","ICAM1","AMBP",-0.255375677500903
"610","TWEAK","CTRC",-0.193688859069355
"611","CCL3","CTRC",-0.222758057818907
"612","QPCT","CTRC",-0.278328919394219
"613","Dkk-1","DCN",0.443315910158185
"614","HO-1","DCN",0.516895425147412
"615","PRELP","DCN",0.457097363379536
"616","hOSCAR","DCN",-0.212266508236933
"617","TRAIL","DCN",-0.253722378709873
"618","CCL25","DCN",-0.373026085939049
"619","CXCL6","DCN",-0.199100442251386
"620","IL18","DCN",-0.201687262973684
"621","CX3CL1","DCN",-0.306177912557729
"622","CCL28","DCN",-0.373960536943625
"623","CXCL11","DCN",-0.194937300467241
"624","TGF-alpha","DCN",-0.210452294388394
"625","AXIN1","DCN",0.427246798154173
"626","ADA","DCN",-0.211790106623938
"627","IL-18R1","DCN",-0.193242687189536
"628","LAP TGF-beta-1","DCN",0.986576055141036
"629","F11","DCN",-0.197980446972973
